,date,quarter,day,department,team_number,team_workers,allocated_task_time,unfinished_items,over_time,incentive,style_changes,interruption_time,interruption_people,productivity_target,productivity_actual,productivity_difference
0,1/1/2015,Q1,Thursday,sewing,8,59.0,26.16,1108.0,7080,98,0,0.0,0,0.8,0.940725424,0.140725424
1,1/1/2015,Q1,Thursday,finishing ,1,8.0,3.94,,960,0,0,0.0,0,0.75,0.8865,0.13649999999999995
2,1/1/2015,Q1,Thursday,sewing,11,30.5,11.41,968.0,3660,50,0,0.0,0,0.8,0.800570492,0.0005704919999999225
3,1/1/2015,Q1,Thursday,sewing,12,30.5,11.41,968.0,3660,50,0,0.0,0,0.8,0.800570492,0.0005704919999999225
4,1/1/2015,Q1,Thursday,sewing,6,56.0,25.9,1170.0,1920,50,0,0.0,0,0.8,0.800381944,0.0003819439999999119
5,1/1/2015,Q1,Thursday,sewing,7,56.0,25.9,984.0,6720,38,0,0.0,0,0.8,0.800125,0.00012499999999993072
6,1/1/2015,Q1,Thursday,finishing ,2,8.0,3.94,,960,0,0,0.0,0,0.75,0.755166667,0.005166667000000014
7,1/1/2015,Q1,Thursday,sewing,3,57.5,28.08,795.0,6900,45,0,0.0,0,0.75,0.753683478,0.003683478000000018
8,1/1/2015,Q1,Thursday,sewing,2,55.0,19.87,733.0,6000,34,0,0.0,0,0.75,0.753097531,0.0030975309999999867
9,1/1/2015,Q1,Thursday,sewing,1,57.5,28.08,681.0,6900,45,0,0.0,0,0.75,0.750427826,0.00042782600000002
10,1/1/2015,Q1,Thursday,sewing,9,57.5,28.08,872.0,6900,44,0,0.0,0,0.7,0.721126957,0.021126957000000002
11,1/1/2015,Q1,Thursday,sewing,10,54.0,19.31,578.0,6480,45,0,0.0,0,0.75,0.712205247,-0.037794753000000014
12,1/1/2015,Q1,Thursday,sewing,5,30.5,11.41,668.0,3660,50,0,0.0,0,0.8,0.707045902,-0.0929540980000001
13,1/1/2015,Q1,Thursday,finishing ,10,8.0,3.94,,960,0,0,0.0,0,0.65,0.705916667,0.055916666999999975
14,1/1/2015,Q1,Thursday,finishing ,8,8.0,2.9,,960,0,0,0.0,0,0.75,0.676666667,-0.073333333
15,1/1/2015,Q1,Thursday,finishing ,4,18.0,3.94,,2160,0,0,0.0,0,0.75,0.593055556,-0.15694444399999996
16,1/1/2015,Q1,Thursday,finishing ,7,8.0,2.9,,960,0,0,0.0,0,0.8,0.540729167,-0.2592708330000001
